id,first_name,last_name,hire_date,wage
128,Garrek,Medcraft,01/20/2023,19.31
129,Opal,Heinzel,01/19/2020,42.0
130,Paddie,Olohan,01/24/2021,59.53
131,Shandeigh,Raiment,07/24/2021,41.27
132,Eachelle,Pace,08/05/2019,13.58
133,Brier,Faudrie,11/03/2020,15.06
134,Letitia,Baszniak,12/12/2022,30.31
135,Aaron,Mozzini,04/27/2020,39.92
136,Connie,Lerigo,12/10/2021,28.4
137,Susana,Oldfield-Cherry,07/12/2020,12.33
138,Gerry,Bome,04/25/2020,51.58
139,Candie,Hamshar,12/26/2019,17.71
140,Ram,Neighbour,01/24/2022,43.43
141,Lanny,Draisey,04/12/2022,47.22
142,Guillaume,Calver,07/01/2022,51.13
143,Myra,Illem,04/07/2020,41.37
144,Eugenie,Sugg,08/13/2020,26.98
145,Rodrick,Imloch,12/25/2019,16.7
146,Garrard,Skittrall,06/09/2022,43.64
147,Kala,Cerro,02/13/2022,45.45
148,Martie,Legrand,06/11/2021,56.46
149,Man,Edelheid,03/15/2022,55.24
150,Allyce,Doag,06/30/2021,15.7
151,Marta,Woof,03/05/2022,51.18
152,Davina,Covey,06/24/2021,31.1
153,Reginauld,Cowpland,03/20/2023,56.78
154,Yolane,Chatenier,05/15/2020,20.14
155,Thain,Cloney,09/27/2020,26.55
156,Ilaire,Bowerbank,02/21/2021,33.37
157,Hermia,Karchewski,06/08/2021,46.48
158,Martino,Stubbeley,05/21/2023,21.14
159,Constancia,Brecknock,05/24/2020,13.19
160,Skye,McIlveen,04/13/2021,25.86
161,Janenna,Gotthard,01/04/2020,35.93
162,Holly,Bilton,08/11/2020,28.11
163,Gar,Sirr,05/29/2021,15.51
164,Egbert,Maly,11/03/2022,58.3
165,Ezri,Insley,10/15/2019,53.26
166,Benny,Brognot,11/12/2019,44.71
167,Biron,Winfrey,04/17/2023,43.24
168,Gwenora,Kubu,04/07/2021,32.85
169,Regen,Rigmond,04/04/2022,53.75
170,Zollie,Batha,05/30/2020,52.63
171,Noel,Garfitt,12/05/2022,22.78
172,Aldin,Reuss,01/16/2023,28.85
173,Hillie,Grigolashvill,09/23/2019,17.62
174,Taylor,Burrett,06/05/2022,57.15
175,Niki,De Hooch,01/18/2020,43.56
176,Zenia,Inger,09/11/2021,18.0
177,Yorgos,McCaughan,02/11/2020,31.76
178,Kirby,Fieldstone,09/02/2020,57.2
179,Irwinn,Burtwhistle,10/13/2020,45.97
180,Ike,Ibbitson,05/10/2023,56.71
181,Suzanne,Timothy,01/21/2021,13.66
182,Barrie,Gaveltone,11/05/2021,42.01
183,Christabel,Lathleiffure,12/07/2021,52.41
184,Minnaminnie,Glazer,02/23/2020,47.74
185,Ebba,Marris,09/28/2021,22.68
186,Elias,Hounsham,11/03/2021,16.79
187,Abba,Whiston,08/16/2022,43.76
188,Thomasa,Rhoddie,12/31/2019,57.9
189,Haleigh,Fishleigh,08/10/2021,39.06
190,Barclay,Fancet,12/17/2019,29.08
191,Neile,Smedmoor,07/05/2021,23.76
192,Stephani,Gossan,07/10/2020,43.04
193,Milicent,Troppmann,08/12/2020,13.04
194,Rollo,Bougourd,06/10/2022,38.2
195,Karita,Fucher,12/11/2021,19.66
196,Brewster,Breissan,11/13/2019,56.56
197,Ellery,Tomlinson,01/26/2022,34.35
198,Ignacius,Tolworthie,09/01/2020,19.17
199,Austine,Aston,04/26/2020,37.77
200,Obidiah,Wrassell,12/19/2021,26.63
201,Chaim,Adelman,05/01/2023,58.03
202,Henrieta,Bechley,07/24/2020,53.94
203,Randa,Shurlock,01/29/2020,40.61
204,Haywood,Coxhead,01/26/2023,47.19
205,Nydia,Menichelli,05/24/2022,30.34
206,Yoshiko,Adlam,09/02/2021,23.8
207,Onfre,Ivanchov,12/19/2022,20.98
208,Eda,Tipling,11/08/2019,21.92
209,Eugenius,O'Gaven,11/08/2020,38.18
210,Dode,Tythacott,05/03/2023,47.08
211,Pattie,Fakeley,09/22/2021,15.34
212,Doreen,Bickley,05/08/2021,56.47
213,Jammie,Stride,06/26/2023,40.41
214,Baxy,Brindle,01/07/2022,19.55
215,Augustus,Rittelmeyer,07/30/2020,48.21
216,Marline,Argent,02/01/2020,31.08
217,Lianne,Choppen,04/13/2020,30.38
218,Kathryne,Beardsall,06/19/2020,52.03
219,Wesley,Wetherell,05/27/2020,23.53
220,Ysabel,Kleinerman,02/08/2020,15.05
221,Cyrus,Cavilla,12/19/2022,26.93
222,Hannis,Richt,04/20/2020,45.12
223,Vernon,Chinnick,04/24/2022,39.91
224,Artemus,Grint,03/07/2023,13.08
225,Debora,Beecker,12/28/2021,38.02
226,Herve,Scherer,10/17/2022,47.83
227,Candice,Haine,12/28/2022,35.05
228,Tabitha,Juppe,12/09/2021,58.54
229,Rory,Jennaway,04/19/2023,47.08
230,Hieronymus,Cossor,07/03/2020,56.5
231,Daryn,Ness,11/23/2022,40.88
232,Casar,Bygreaves,12/05/2022,48.39
233,Albertine,Pountain,12/07/2021,41.95
234,Carr,Matuszak,10/21/2020,43.36
235,Diane-marie,Skill,04/15/2022,49.14
236,Gaylene,Middlewick,03/18/2020,48.19
237,Krystalle,Wetter,01/03/2022,27.55
238,Ada,Killshaw,09/24/2021,34.61
239,Renado,Cayley,02/21/2021,56.84
240,Babette,Spencock,01/12/2022,15.34
241,Seana,Dunaway,08/29/2021,30.35
242,Alameda,Sam,07/12/2020,48.4
243,Ketty,Tregoning,08/02/2019,56.24
244,Fae,Reeds,01/26/2022,15.04
245,Cal,Bentsen,11/29/2022,45.7
246,Ambros,Towsie,11/09/2021,25.12
247,Tod,Lilleyman,10/07/2020,39.67
248,Tonye,Hunston,12/19/2019,40.11
249,Wolfie,Molen,08/14/2019,58.58
250,Zachary,Flott,03/09/2023,50.11
251,Viv,Gavahan,08/02/2019,39.19
252,Raphaela,Qusklay,01/07/2020,41.85
253,Arturo,Betteriss,09/15/2021,20.11
254,Lena,Robbeke,09/25/2022,39.36
255,Tabbie,Lemarie,11/03/2019,13.17
256,Caryl,Leile,04/29/2022,22.68
257,Yvette,Kellegher,01/20/2020,41.26
258,Rosamond,Gorwood,07/17/2022,47.17
259,Ula,Rubinow,05/12/2021,12.32
260,Trina,Mebius,08/18/2022,46.43
261,Deb,Budd,07/01/2021,12.81
262,Millicent,Di Francecshi,03/15/2020,58.54
263,Bebe,Ivett,04/02/2023,28.5
264,Nolie,Dinnies,08/12/2021,27.64
265,Clark,Kiddie,02/15/2021,46.65
266,Hannis,Gudgeon,07/02/2022,43.49
267,Marcie,Perello,04/05/2020,51.31
268,Zaria,Bunner,12/22/2020,34.81
269,Liza,Twigger,12/22/2020,55.16
270,Monika,Whibley,03/24/2022,48.06
271,Turner,Smurthwaite,12/07/2020,28.38
272,Chloris,Berggren,07/16/2022,31.12
273,Jazmin,Raggett,09/22/2019,35.75
274,Farlee,Berndsen,02/17/2021,12.29
275,Sidonia,Rigmond,08/09/2019,55.77
276,Fleurette,Dalgleish,03/31/2020,21.24
277,Dedra,Revelle,10/12/2022,37.42
278,Gardie,Orange,07/20/2022,27.94
279,Alys,Marran,02/13/2023,57.46
280,Merl,Costar,09/22/2019,35.37
281,Lillis,Norcliffe,01/09/2020,59.24
282,Doug,Bernuzzi,05/10/2022,16.21
283,Emera,King,11/08/2020,23.66
284,Roseline,Donoher,01/06/2022,25.53
285,Tiff,Giacomozzo,10/05/2022,49.51
286,Hamlen,Keyzman,03/25/2020,20.49
287,Jolynn,Kaszper,12/07/2020,43.15
288,Arni,Colvie,11/18/2020,55.48
289,Hughie,Galbreth,07/28/2021,34.91
290,Dede,Greenshiels,10/24/2022,41.81
291,Dynah,Licciardello,03/26/2022,57.53
292,Gav,Deshon,12/16/2020,48.44
293,Fleming,Elcox,01/16/2023,58.95
294,Dougie,Guisler,10/03/2021,42.03
295,Bernita,Seago,05/01/2022,38.19
296,Rowe,Lazer,06/13/2020,15.05
297,Marlon,McKibbin,12/02/2021,42.28
298,Curt,Scrowton,05/26/2022,47.58
299,Nicky,Creavan,09/12/2022,24.97
300,Brianne,Pinar,09/06/2022,56.16
301,Anatola,Liveley,02/01/2021,39.68
302,Ruthann,Ondrousek,12/21/2020,52.22
303,Fleurette,Eldrett,04/02/2021,15.99
304,Daisie,Gilyatt,09/14/2019,42.57
305,Gabrielle,Mawby,11/05/2022,47.12
306,Victor,Allmann,05/29/2021,34.93
307,Elsinore,Kurdani,01/02/2022,15.94
308,Row,Mouan,06/01/2022,16.06
309,Amy,Durham,10/24/2020,16.93
310,Raviv,Dodamead,12/15/2019,16.06
311,Delmor,Leneve,06/15/2023,54.5
312,Chicky,Le Claire,12/25/2019,59.89
313,Tally,Dassindale,06/01/2020,43.31
314,Linea,Tash,06/12/2020,25.59
315,Loralie,Hackworthy,11/30/2021,31.05
316,Neron,Kilgannon,05/14/2020,37.44
317,Del,Huws,05/22/2021,53.66
318,Karoly,Koeppke,11/08/2020,40.89
319,Kally,Greiswood,04/16/2022,25.28
320,Lemuel,Wellesley,05/13/2021,49.61
321,Dacey,Claybourn,05/22/2022,35.56
322,Elita,Camosso,12/23/2022,50.86
323,Cullie,Sidey,06/10/2023,15.78
324,Kippie,Gregolotti,02/11/2020,51.25
325,Corliss,Trees,10/17/2019,50.92
326,Avie,Peascod,06/24/2022,33.02
327,Karol,Balling,03/15/2021,59.26
328,Nelly,Michal,10/12/2021,40.9
329,Adi,Worral,08/11/2022,29.04
330,Giuditta,Simnell,06/14/2022,53.63
331,Clemens,Vasler,04/09/2022,24.53
332,Dillie,Gunda,04/03/2021,45.08
333,Sloane,Gleave,04/12/2022,13.04
334,Chuck,Iacopini,02/24/2023,12.33
335,Legra,Poetz,07/26/2019,40.42
336,Jodee,Huitt,08/16/2021,29.57
337,Celestine,Titchener,09/03/2021,56.3
338,Corilla,Townsley,05/17/2021,59.0
339,Kylie,Abramovici,08/11/2020,15.07
340,Kearney,Rangeley,02/16/2020,22.35
341,Flossie,Kennion,12/28/2021,17.79
342,Cecilius,Luker,09/10/2020,48.78
343,Miner,Meates,03/11/2022,20.85
344,Florence,St Leger,02/13/2023,25.67
345,Atalanta,Brockway,05/30/2023,48.9
346,Janaye,Dablin,12/15/2020,18.25
347,Thorny,Cabedo,07/07/2019,45.97
348,Iosep,Pendleberry,01/30/2022,52.39
349,Ros,Levens,03/18/2023,55.07
350,Tasia,Philipsohn,01/27/2021,19.26
351,Pietro,Wetter,01/07/2022,37.13
352,Livia,Wimms,07/21/2020,57.92
353,Hans,Witter,02/13/2022,48.68
354,Nina,Roderigo,03/04/2021,28.85
355,Sal,Sloam,06/17/2022,36.31
356,Anetta,Siely,02/28/2023,13.75
357,Hamish,D'Errico,12/29/2021,23.96
358,Weylin,Pengelley,03/31/2023,46.59
359,Cayla,Steele,06/17/2022,42.36
360,Demetria,Lissenden,08/01/2019,44.82
361,Jere,Pidgeley,10/16/2021,23.31
362,Aubrey,Veck,12/23/2020,47.0
363,Felita,Rafferty,01/09/2023,55.57
364,Tuckie,MacLure,12/14/2021,33.25
365,Edvard,Pavlovsky,02/15/2022,57.12
366,Brandon,Tripet,04/28/2020,14.34
367,Abbey,Gerriets,05/22/2020,57.57
368,Maura,Poizer,02/21/2023,46.15
369,Salli,Cutford,02/09/2020,18.04
370,Bobbe,Akred,02/28/2023,32.13
371,Irvin,Popelay,05/23/2021,49.08
372,Georgianna,Haizelden,05/13/2022,31.42
373,Agace,Lawler,04/28/2023,42.6
374,Tommi,Kopman,03/06/2020,26.44
375,Ollie,Coners,08/15/2019,41.31
376,Anatola,Gallear,12/15/2022,19.01
377,Keriann,Thunnercliff,12/04/2020,56.46
378,Olivero,Huddle,05/08/2020,12.01
379,Dulcinea,Spikings,03/30/2021,19.03
380,Hestia,Barringer,11/27/2020,32.65
381,Hazlett,Malkin,06/08/2020,54.33
382,Livia,Castagnet,05/03/2023,41.52
383,Emili,Devitt,11/07/2022,47.52
384,Jacky,Verchambre,04/13/2022,30.8
385,Gradey,Abells,12/17/2022,56.58
386,Roshelle,Hawkins,10/26/2020,38.61
387,Irving,Giottini,06/15/2022,27.13
388,Karna,Mallabone,05/20/2023,55.03
389,Ki,Evamy,02/24/2020,44.0
390,Karisa,Schwerin,05/28/2023,31.36
391,Bobby,Manwaring,06/26/2020,18.33
392,Zulema,Ryles,06/19/2021,20.26
393,Gian,Yeatman,07/15/2021,30.78
394,Hersh,Haxell,03/18/2023,40.08
395,Zechariah,Adam,03/16/2023,52.16
396,Luis,Jacobovitz,09/25/2020,36.49
397,Dorolice,Turmall,09/14/2020,52.9
398,Katharine,Huffy,02/24/2020,59.7
399,Farand,Houten,04/21/2023,15.41
400,Fredrika,Limpenny,12/30/2020,53.27
401,Bertie,Corbie,08/22/2022,37.54
402,Juli,Gartenfeld,01/30/2021,20.89
403,Babs,Rigmand,07/13/2022,43.87
404,Sadye,Tretwell,09/25/2021,53.48
405,Cornelius,Ridsdale,08/05/2020,57.58
406,Amalea,Henrichsen,01/01/2023,53.86
407,Courtnay,Arminger,09/03/2022,34.53
408,Aylmar,Ellice,09/20/2020,36.63
409,Harley,Dallman,08/20/2021,12.8
410,Deidre,D'Arrigo,01/09/2021,59.36
411,Barron,Griswaite,08/27/2021,39.51
412,Ellsworth,Costelloe,11/13/2019,31.46
413,Noel,Antoniat,08/08/2022,56.73
414,Adrian,Wenderott,05/25/2023,42.76
415,Janeczka,Cominoli,06/14/2023,32.2
416,Nolie,Vidloc,06/01/2022,50.41
417,Manolo,Lutz,01/01/2023,54.62
418,Pall,Sodor,04/08/2023,46.93
419,Reube,Wilhelmy,06/04/2021,17.65
420,Tulley,Witton,05/24/2020,16.1
421,Marius,Hartup,05/25/2022,14.79
422,Sylvan,Fee,09/03/2020,26.17
423,Sigismund,Fellona,12/12/2022,48.3
424,Sebastien,Oliva,08/07/2019,55.97
425,Yorgos,Borrington,01/01/2023,39.05
426,Man,Frift,03/23/2020,30.01
427,Lucian,Swinnard,04/05/2023,23.95
428,Debra,Lidden,12/08/2022,37.43
429,Nettie,Beevors,09/24/2020,46.62
430,Chas,Gosart,09/20/2019,21.63
431,Granny,Mullin,11/03/2020,56.0
432,Deidre,Stappard,07/17/2021,43.54
433,Eloise,Vanyard,09/17/2021,47.32
434,Crichton,Lindop,10/16/2021,25.09
435,Ermina,Leppard,09/25/2019,49.48
436,Michael,Aymes,11/18/2021,59.05
437,Christoffer,O'Sheeryne,12/14/2022,46.48
438,Garry,Sibbald,04/17/2023,12.33
439,Deloria,Salman,12/09/2022,47.19
440,Keelby,Foden,05/24/2021,55.68
441,Lexy,Mitkcov,11/07/2021,47.01
442,Grady,Shorthill,07/21/2020,14.35
443,Claudia,Whiteland,05/22/2023,44.05
444,Rand,Scruton,03/20/2020,41.88
445,Merry,Bris,10/14/2020,15.78
446,Renata,Elvins,08/23/2020,29.08
447,Guthrie,Coytes,09/19/2022,55.58
448,Benjie,MacLaverty,06/23/2020,33.25
449,Ronnie,Fitton,08/11/2020,29.81
450,Kort,Vautin,05/13/2020,48.76
451,Nelle,Bassil,09/26/2019,29.03
452,Debbie,Randerson,01/01/2021,18.2
453,Arvie,Rosoni,12/10/2022,14.04
454,Fleurette,Levine,09/09/2022,14.66
455,Gerry,Eglese,09/14/2021,56.68
456,Thoma,Chartman,07/03/2021,29.02
457,Dacy,Mellsop,08/28/2022,21.21
458,Kesley,Hesse,05/21/2020,29.2
459,Isabella,Manns,11/23/2021,30.72
460,Colly,Grahame,06/12/2020,34.61
461,Karel,Mowsley,03/28/2023,30.37
462,Howey,Birchwood,12/28/2019,14.12
463,Jobina,Topley,11/19/2022,45.78
464,Brook,Broader,01/24/2021,28.96
465,Janean,Cranny,02/11/2021,22.62
466,Jacintha,Iglesia,09/02/2021,38.79
467,Cos,Roussell,08/17/2019,27.96
468,Serene,Stollenbecker,10/22/2019,49.49
469,Osgood,Cragg,03/25/2023,20.54
470,Heywood,Jelley,04/27/2021,17.81
471,Duff,Loughlan,09/22/2020,57.51
472,Whitby,Henke,03/05/2023,57.68
473,Kurtis,Blandamore,07/18/2019,20.32
474,Vernon,McCloid,08/02/2019,48.54
475,Yardley,Slegg,07/15/2020,33.32
476,Godiva,Smithyman,11/12/2022,14.01
477,Aleta,Ruzic,05/04/2020,42.17
478,Tildy,Spering,03/21/2020,43.6
479,Ronnie,Hilbourne,12/18/2019,51.46
480,Bay,Sreenan,12/15/2019,58.37
481,Feliza,Baudone,05/12/2021,41.65
482,Allianora,Wankling,02/18/2021,30.01
483,Bennett,Whyard,05/28/2023,53.85
484,Bab,Ockenden,12/17/2020,38.17
485,Minerva,Jeandon,10/13/2020,36.92
486,Ermanno,Straneo,04/11/2023,44.58
487,Bette,Huleatt,04/27/2022,50.64
488,Rodge,Di Matteo,10/10/2020,23.94
489,Amelita,Winchurst,05/11/2023,18.66
490,Saunder,Merfin,05/09/2021,29.17
491,Lisa,Goundsy,03/19/2023,15.95
492,Crissy,Lovelace,11/29/2022,23.26
493,Jonah,Sogg,06/27/2023,53.97
494,Micheline,Stiegars,07/08/2021,16.12
495,Bessie,Biasioni,08/15/2022,43.0
496,Yurik,Shoobridge,09/07/2020,48.04
497,Betti,Riccioppo,06/16/2020,34.06
498,Jeremie,Jaycox,07/28/2020,39.51
499,Isiahi,Fairbanks,09/03/2020,54.47
500,Cristen,Scripture,02/07/2020,17.93
501,Pippy,Nesbeth,05/09/2021,16.09
502,Ilse,Ganders,09/19/2022,15.08
503,Roddy,Tabourier,07/25/2021,50.71
504,Cristin,Lackey,05/27/2021,44.17
505,Brianna,Prinne,07/15/2020,28.11
506,Aurthur,Purser,09/21/2020,22.1
507,Jule,Kildale,03/07/2023,22.94
508,Archibold,Begent,10/24/2021,17.24
509,Ricky,Flockhart,07/31/2021,47.16
510,Maribelle,Wrout,01/05/2020,42.19
511,Killy,Montfort,05/02/2020,22.16
512,Dagny,Segrave,08/15/2022,27.12
513,Reinaldo,Lornsen,07/01/2021,41.14
514,Hermy,Lidgertwood,10/02/2022,32.17
515,Theo,Heather,01/10/2020,56.02
516,Reamonn,Clopton,05/04/2022,43.06
517,Raine,Patty,01/10/2020,56.98
518,Katey,Werlock,07/01/2022,48.82
519,Joni,Dyment,11/04/2022,25.67
520,Robinett,Iacopo,08/12/2022,28.14
521,Anne,Harriagn,08/17/2021,35.89
522,Hirsch,Kowal,12/26/2020,56.41
523,Daria,Janatka,12/03/2020,20.6
524,Latrena,Gallant,12/20/2021,26.8
525,Vincent,Macellar,05/21/2021,14.59
526,Rozele,Feldbau,04/24/2020,23.6
527,Hazel,Heynen,08/19/2021,37.82
528,Aldon,Stealy,11/02/2020,47.81
529,Syd,Danielsky,03/10/2021,55.79
530,Lethia,Statefield,04/25/2020,30.44
531,Clayson,Daintith,01/19/2022,40.45
532,Sutherlan,Yakhin,10/10/2022,40.64
533,Terry,Sumpton,12/03/2022,29.1
534,Mellisent,Grabban,06/06/2021,23.19
535,Georg,Tivnan,01/27/2022,13.61
536,Georges,Rickerby,06/24/2020,42.61
537,Clarine,Yearns,09/19/2022,20.11
538,Clayton,Whithalgh,06/12/2022,55.47
539,Chelsie,Quernel,04/16/2020,41.45
540,Davidde,Gatheridge,09/23/2021,33.44
541,Sibeal,Uridge,04/15/2021,52.7
542,Hodge,Sisley,04/09/2020,16.77
543,Cori,Vyel,08/08/2022,58.79
544,Nathan,Osgorby,09/24/2022,15.01
545,Annamaria,Duprey,04/05/2021,51.7
546,Loralee,Kaemena,02/01/2023,50.22
547,Dyana,Heskey,05/10/2020,45.32
548,Josh,Davidowsky,06/22/2022,30.05
549,Wilow,Keohane,04/04/2021,33.25
550,Nessie,Whyler,10/12/2020,52.57
551,Coralyn,de Quesne,07/07/2019,15.72
552,Adda,Burchess,12/21/2022,23.93
553,Major,Comar,02/03/2020,59.76
554,Ulrick,Toderi,03/21/2020,45.8
555,Angy,Bissiker,12/10/2019,52.14
556,Dew,Waldron,06/29/2020,22.21
557,Tybi,Checkley,07/19/2019,48.63
558,Codi,Bolitho,10/26/2019,13.1
559,Kennett,Tothe,02/04/2020,55.45
560,Mireielle,Wallen,11/17/2020,51.05
561,Hestia,McQuilliam,01/03/2020,55.19
562,Nicolea,Gurg,11/10/2021,49.81
563,Auguste,Doodson,01/03/2022,21.25
564,Tiffy,Bowerman,12/14/2019,14.64
565,Temp,Sakins,03/30/2022,34.16
566,Maud,Moncaster,03/14/2023,18.11
567,Brook,Carletto,02/27/2023,39.11
568,Delilah,Lennarde,08/09/2022,12.16
569,Bianca,Maillard,04/13/2022,48.9
570,Clio,Heigho,05/07/2021,31.99
571,Adriaens,Rosendorf,11/11/2019,48.19
572,Saunder,Turnock,04/02/2023,34.53
573,Carolina,Barwick,01/07/2023,29.66
574,Abbye,Burnapp,11/07/2019,36.2
575,Reena,Gleave,06/01/2022,30.87
576,Orbadiah,Wasbey,04/03/2023,33.07
577,Darice,Cogdon,12/20/2022,23.6
578,Hyman,Foch,05/03/2020,18.06
579,Misti,Warden,04/18/2020,12.74
580,Jandy,Spillett,11/11/2019,17.18
581,Toma,Lavin,07/25/2022,44.93
582,Imelda,Quantrell,02/16/2023,51.4
583,Yasmin,Philler,08/21/2022,46.75
584,Lane,Field,06/28/2020,30.5
585,Fancy,Baudts,11/19/2021,27.49
586,Elvyn,Camelli,10/27/2021,34.61
587,Bonnie,Heiden,05/24/2023,55.18
588,Noll,McClymond,11/15/2021,46.39
589,Bess,Leinster,07/06/2019,54.51
590,Dede,Elecum,04/30/2021,24.47
591,Jilleen,Durman,09/26/2022,27.59
592,Dyann,Layman,08/17/2022,54.11
593,Franklin,Adlard,06/14/2020,42.64
594,Shaine,Band,03/30/2020,50.62
595,Grace,Devlin,03/01/2023,37.43
596,Paulo,Espinazo,05/08/2023,15.93
597,Hannah,Speedy,09/18/2022,23.42
598,Rivkah,Ion,01/21/2021,26.83
